Car.FxFL	Car.FxFR	Car.FxRL	Car.FxRR	Car.FyFL	Car.FyFR	Car.FyRL	Car.FyRR	Car.FzFL	Car.FzFR	Car.FzRL	Car.FzRR	Car.Pitch	Car.Road.Lane.Act.Type	Car.Road.Lane.Act.Width	Car.Road.Lane.Act.tMidLane	Car.Road.Lane.OnLeft.Type	Car.Road.Lane.OnLeft.Width	Car.Road.Lane.OnLeft.tMidLane	Car.Road.Lane.OnRight.Type	Car.Road.Lane.OnRight.Width	Car.Road.Lane.OnRight.tMidLane	Car.Road.Route.DevAng	Car.Road.sRoad	Car.Roll	Car.SideSlipAngle	Car.ax	Car.ay	DM.Brake	DM.Clutch	DM.Gas	DM.GearNo	DM.Shifting	DM.Steer.Ang	PT.Engine.rotv	RL_Agent.Gas	RL_Agent.On	RL_Agent.Reward	RL_Agent.Reward_Factor	RL_Agent.Steer	SC.State	SC.TAccel	Sensor.Road.RD001.PreviewDist	Sensor.Road.RD001.Route.CurveXY	Sensor.Road.RD002.Path.CurveXY	Sensor.Road.RD002.PreviewDist	Sensor.Road.RD003.PreviewDist	Sensor.Road.RD003.Route.CurveXY	Sensor.Road.RD004.PreviewDist	Sensor.Road.RD004.Route.CurveXY	Sensor.Road.RD005.PreviewDist	Sensor.Road.RD005.Route.CurveXY	Sensor.Road.RD006.PreviewDist	Sensor.Road.RD006.Route.CurveXY	Sensor.Road.RD007.PreviewDist	Sensor.Road.RD007.Route.CurveXY	Sensor.Road.RD008.PreviewDist	Sensor.Road.RD008.Route.CurveXY	Sensor.Road.RD009.PreviewDist	Sensor.Road.RD009.Route.CurveXY	Sensor.Road.RD010.PreviewDist	Sensor.Road.RD010.Route.CurveXY	Time	UserTest.Road.DrivenDistance	UserTest.Road.LapLength	UserTest.Road.sRoad_StartPos	UserTest.RoadBorderDist.0	UserTest.RoadBorderDist.L30	UserTest.RoadBorderDist.L60	UserTest.RoadBorderDist.L90	UserTest.RoadBorderDist.R30	UserTest.RoadBorderDist.R60	UserTest.RoadBorderDist.R90	VC.Lights.IndL	Vhcl.FL.LongSlip	Vhcl.FR.LongSlip	Vhcl.PoI.x	Vhcl.PoI.y	Vhcl.RL.LongSlip	Vhcl.RR.LongSlip	Vhcl.Yaw	Vhcl.sRoad	Vhcl.tRoad	Vhcl.v
0.76226367	        0.76226233	         1.1708496	         1.1708645	        -252.26957	         252.26962	        -343.27769	         343.28068	         3920.9579	         3920.9721	         3920.7432	         3920.7579	    -0.00045125283	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	                 0	         3.5225552	     1.2117322e-07	    -1.2529356e-11	     -0.0072501477	      -0.029027856	                 0	                 0	                 0	                 0	                 0	                 0	         79.928051	        0.99052143	                 1	         35.225552	                 1	         2.8813307	                 8	                 1	         6.5555556	                 0	                 0	         7.6666667	         8.7777778	                 0	         9.8888889	                 0	                11	                 0	         12.111111	                 0	         13.222222	                 0	         14.333333	                 0	         15.444444	                 0	         16.555556	                 0	                 0	         3.5225552	         16449.238	                 0	                 2	                 2	                 2	                 2	                 2	                 2	                 2	                 2	     3.8530826e-06	     3.8530636e-06	        -87.745976	         44.055542	     5.1476386e-06	      5.147686e-06	     -0.0057072266	         3.5225552	                -8	         5.5555556
-72.196144	        -87.537108	         -69.18968	        -83.006427	         159.37774	         616.64766	        -279.81602	         366.67241	         3821.5537	         4050.4369	         3818.5422	         3996.9612	    -0.00029656206	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	      0.0011778984	         4.0769544	      0.0010077219	      0.0048845855	       -0.21443565	        0.54728909	                 0	                 1	         0.9894819	                 1	                 1	        0.27172474	         97.929842	         0.9894819	                 1	       0.054270272	        0.98083609	         2.1976502	                 8	                 1	         6.5348309	                 0	                 0	         7.6417971	         8.7487633	                 0	         9.8557294	                 0	         10.962696	                 0	         12.069662	                 0	         13.176628	                 0	         14.283594	                 0	          15.39056	                 0	         16.497527	                 0	               0.1	         4.0769544	         16449.238	                 0	         105.10264	         17.844592	         10.379971	         8.9540717	         17.844592	         10.379971	         8.9540717	                 2	    -0.00037366078	    -0.00043245406	         -87.19146	         44.053568	    -0.00030949397	    -0.00036046423	      -0.004499529	         4.0769544	        -7.9966673	         5.5346189
-71.780315	        -88.491091	         -66.78061	        -83.627828	         255.77787	         745.80442	         -150.7615	         500.54279	         3766.9344	         4101.3324	         3747.5104	         4036.9816	    -0.00013834162	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	      0.0057918392	         4.6291623	      0.0024843557	       0.013073083	        -0.2271363	        0.85166175	                 0	        0.83343679	         0.9894819	                 1	                 1	        0.49148976	         199.83783	         0.9894819	                 1	       0.052372203	        0.95030627	         2.1976502	                 8	                 1	         6.5134376	                 0	                 0	         7.6161251	         8.7188126	                 0	         9.8215001	                 0	         10.924188	                 0	         12.026875	                 0	         13.129563	                 0	          14.23225	                 0	         15.334938	                 0	         16.437625	                 0	               0.2	         4.6291623	         16449.238	                 0	         105.10264	         17.844592	         10.278217	         8.9540717	         18.021253	         10.379971	         8.9540717	                 2	    -0.00037496574	    -0.00043628658	        -86.639074	          44.05687	    -0.00030556056	    -0.00035866178	     0.00014714852	         4.6291623	        -7.9832401	         5.5132217
-160.32405	        -150.58308	         2899.4722	         2903.2656	        -199.31911	         116.34967	         -238.6415	         558.50111	         3884.4244	         3760.0934	         4022.7082	         3984.4275	    -0.00073049063	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	       0.012022828	         5.1806895	       0.000432004	         0.0148674	         3.4104646	        0.15002381	                 0	        0.60485974	         0.9915443	                 1	                 1	        0.29918412	         373.16335	         0.9915443	                 1	       0.052749578	        0.94386852	        -1.9646797	                 8	                 1	         6.5651851	                 0	                 0	         7.6782221	         8.7912591	                 0	         9.9042962	                 0	         11.017333	                 0	          12.13037	                 0	         13.243407	                 0	         14.356444	                 0	         15.469481	                 0	         16.582518	                 0	               0.3	         5.1806895	         16449.238	                 0	         105.10264	         17.496448	         10.278217	         8.9540717	         18.199664	         10.379971	         8.9540717	                 0	    -0.00085931569	    -0.00083045347	        -86.087838	          44.06706	       0.014775045	       0.015028414	      0.0063688442	         5.1806895	        -7.9629454	         5.5684837
-199.18374	        -180.99539	         5575.2365	         5219.4227	         18.078226	        -534.91877	        -197.31083	          106.6111	         2948.6192	         2548.8555	         5246.5631	         4903.6009	      -0.013815773	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	       0.016073207	         5.7726399	     -0.0031691794	      0.0064213992	         6.4688272	       -0.37982301	                 0	         0.4047797	         0.9900381	                 1	                 1	       0.045691548	         424.29723	         0.9900381	                 1	       0.061257136	        0.97495763	        -2.7352824	                 8	                 1	         7.1605647	                 0	                 0	         8.3926776	         9.6247906	                 0	         10.856904	                 0	         12.089016	                 0	         13.321129	                 0	         14.553242	                 0	         15.785355	                 0	         17.017468	                 0	         18.249581	                 0	               0.4	         5.7726399	         16449.238	                 0	         105.10264	         17.324931	          10.17746	         8.9540717	         18.561801	         10.482733	         8.9540717	                 0	     -0.0013222202	     -0.0014149426	         -85.50443	         44.078961	        0.47732124	         0.7537458	       0.010391336	         5.7726399	        -7.9444794	         6.1670092
-186.91822	        -164.14603	         6760.4258	         6328.6778	        -169.25461	        -536.49121	        -147.82162	         28.826523	           2374.44	         1907.8426	         6286.7434	         5894.5926	      -0.031673347	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	       0.016524489	         6.4347327	     -0.0041276741	     -0.0013716083	         7.9961805	       -0.53052153	                 0	        0.22964391	         0.9938816	                 1	                 1	       -0.18685034	         471.96621	         0.9938816	                 1	       0.069248584	         0.9945435	        -1.8988262	                 8	                 1	         7.8953934	                 0	                 0	         9.2744721	         10.653551	                 0	         12.032629	                 0	         13.411708	                 0	         14.790787	                 0	         16.169866	                 0	         17.548944	                 0	         18.928023	                 0	         20.307102	                 0	               0.5	         6.4347327	         16449.238	                 0	         105.10264	         17.324931	          10.17746	         8.9540717	         18.561801	         10.482733	          9.042717	                 0	     -0.0015599252	     -0.0017854574	         -84.85367	          44.08755	        0.39061156	         1.0002389	       0.010798989	         6.4347327	        -7.9319456	         6.9033771
-185.74256	        -162.28325	         6122.1722	         5756.1173	         -526.6264	         -330.7546	        -197.59775	        -15.358171	         2560.0733	         2084.8016	          5640.786	         5301.2572	      -0.033981691	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	       0.012439003	         7.1669113	     -0.0035242279	     -0.0053410778	          7.200778	       -0.67305828	                 0	       0.076342532	        0.98945934	                 1	                 1	       -0.34773033	         515.77279	        0.98945934	                 1	       0.075067485	        0.97908258	       -0.69038343	                 8	                 1	         8.6735447	                 0	                 0	         10.208254	         11.742963	                 0	         13.277672	                 0	         14.812381	                 0	         16.347089	                 0	         17.881798	                 0	         19.416507	                 0	         20.951216	                 0	         22.485925	                 0	               0.6	         7.1669113	         16449.238	                 0	         105.10264	         17.324931	          10.17746	         8.8662954	         18.379841	         10.482733	          9.042717	                 0	     -0.0014447426	     -0.0015673841	        -84.123639	         44.091496	        0.25187607	         1.1051031	      0.0066673079	         7.1669113	        -7.9288213	         7.6807608
-185.33032	         -161.8265	         5388.1906	         4956.8252	        -721.97438	         -161.0997	        -344.83484	        -43.169201	         2916.6053	         2371.8428	         4999.2859	         4539.1933	      -0.027020218	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	      0.0039201741	         7.9667131	     -0.0041526392	     -0.0050646963	         6.1918868	       -0.79200764	                 0	                 0	        0.98945934	                 1	                 0	       -0.41676867	         575.77994	        0.98945934	                 1	       0.081495502	        0.98014348	       -0.69038343	                 8	                 1	         9.3391409	                 0	                 0	         11.006969	         12.674797	                 0	         14.342626	                 0	         16.010454	                 0	         17.678282	                 0	          19.34611	                 0	         21.013938	                 0	         22.681766	                 0	         24.349595	                 0	               0.7	         7.9667131	         16449.238	                 0	         105.10264	         17.669662	         10.278217	         8.8662954	         18.199664	         10.482733	          9.042717	                 0	     -0.0012714269	     -0.0013511795	        -83.320499	         44.089465	         0.1931361	         1.2671958	      -0.001892322	         7.9667131	         -7.937993	         8.3453553
-181.38944	         -176.5287	         5367.1998	         4850.9145	        -400.53979	         112.45022	        -842.66902	        -60.720358	         3112.9827	         2644.5307	         5050.9588	         4463.4784	       -0.02135905	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	     -0.0075755602	         8.8298337	     -0.0051528727	     -0.0015243117	         6.1101564	       -0.75444433	                 0	                 0	        0.98507595	                 1	                 0	       -0.27581095	         639.09787	        0.98507595	                 1	       0.088886644	         0.9939397	          1.430789	                 8	                 1	         9.9486824	                 0	                 0	         11.738419	         13.528155	                 0	         15.317892	                 0	         17.107628	                 0	         18.897365	                 0	         20.687101	                 0	         22.476838	                 0	         24.266574	                 0	         26.056311	                 0	               0.8	         8.8298337	         16449.238	                 0	         105.10264	         18.021253	         10.278217	         8.8662954	         17.844592	         10.379971	          9.042717	                 0	     -0.0011428478	     -0.0013160734	        -82.454604	         44.080171	        0.12879305	         1.4557696	      -0.013397801	         8.8298337	        -7.9582566	         8.9548006
-166.41828	        -185.15227	         5124.7613	         5027.6317	        -32.155022	         293.49108	        -1425.1876	        -10.272664	         3156.3557	         2723.5952	         5380.1795	         4646.1608	      -0.020291873	                 0	                16	                -8	                 4	                 1	               0.5	                 4	                 1	             -16.5	      -0.016734264	         9.7567359	     -0.0058276627	     -0.0024684855	         6.0916274	       -0.69927767	                 0	                 0	         0.9855361	                 1	                 0	      -0.082724327	         682.16342	         0.9855361	                 1	       0.094901619	         0.9902226	          2.106569	                 8	                 1	         10.573305	                 0	                 0	         12.487966	         14.402627	                 0	         16.317288	                 0	         18.231949	                 0	          20.14661	                 0	         22.061271	                 0	         23.975932	                 0	         25.890593	                 0	         27.805254	                 0	               0.9	         9.7567359	         16449.238	                 0	         105.10264	         18.379841	         10.379971	         8.9540717	         17.496448	         10.278217	          9.042717	                 0	     -0.0010083072	     -0.0013197956	         -81.52759	         44.062013	       0.019023789	         1.5499114	       -0.02249037	         9.7567359	        -7.9839091	         9.5794019
